mathematics,calculator,0E6EB8
discrete mathematics,braille,FE9A76
group theory,circle outline,32cd32
linear algebra,chess board,ee82ee
computer science,microchip,a0a0a0
algorithms,terminal,016936
theoretical computer science,sitemap,008080
cybersecurity,shield alternate,0e6eb8
conspiracy,eye,b03060
flat earth,globe,32cd32
9/11,fighter jet,a0a0a0
aliens,question circle outline,016936
shitposts,thumbs down outline,b03060
